Anni,AFRICA,AMERICA,ASIA,EUROPA,OCEANIA
1960,282962756,418485703,1698719232,605263547,16023119
1961,289804889,427953919,1715303902,611107043,16353964
1962,296899075,437416858,1744857569,617179017,16756010
1963,304243843,446902780,1786271448,623297179,17098297
1964,311834377,456448210,1827826387,629338830,17456353
1965,319670140,465830883,1870928204,635157908,17809934
1966,327757616,475140084,1917889653,640029978,18212592
1967,336108767,484405779,1964661020,644731846,18502946
1968,344734837,493553257,2012930443,649184038,18833043
1969,353649286,502702234,2063437911,653499136,19211311
1970,362866802,512344824,2115330861,657264538,19598271
1971,372393320,522638699,2169373376,661021053,20177600
1972,382243261,532245868,2221319762,665296996,20575132
1973,392447072,541728395,2272956185,669406028,20942179
1974,403043697,551273357,2323630889,673298532,21456686
1975,414062716,561102589,2372450980,677018690,21797605
1976,425516039,570935844,2419858139,680642033,22079766
1977,437404404,580965578,2466271194,684048069,22366965
1978,449724491,591204112,2513332093,687380959,22656204
1979,462479969,601680665,2561623227,690695322,22927240
1980,475661405,612057369,2610206145,694091747,23243186
1981,489260056,622612689,2660316731,697313258,23632162
1982,503271348,633225197,2713453882,700019787,24062850
1983,517696773,643794210,2767272493,702465132,24449034
1984,532544771,654291979,2820342610,705084237,24803739
1985,547806327,664851127,2874361971,707779133,25187056
1986,563487571,675528156,2930132355,710595997,25592647
1987,579567129,686223733,2987667922,713470848,26009867
1988,595970421,696953781,3045707590,716386929,26429582
1989,612610919,707918634,3103208180,719312947,26871145
1990,629422251,719284861,3162362655,721414842,27299458
1991,646391326,731101644,3218894978,723414703,27833854
1992,663532792,743040652,3273567871,725136993,28233951
1993,680861334,754800196,3327796671,726604947,28602079
1994,698411275,766331074,3381457681,727451641,28997446
1995,716203936,777755942,3434328512,727776546,29430606
1996,734266450,789122657,3487055796,727890873,29895323
1997,752618148,800569326,3539260975,727913572,30322225
1998,771291260,811813313,3590553274,727789520,30723201
1999,790332320,822925362,3640554781,727534725,31129290
2000,809778876,833869648,3689897484,727060263,31545244
2001,829656704,844391841,3738590178,726697414,31988059
2002,850010421,854614180,3786410126,726782281,32449740
2003,870914776,864471578,3833461261,727526852,32927012
2004,892466709,874457284,3880059191,728524294,33379493
2005,914742164,884385657,3926457742,729552808,33863918
2006,937768851,894410040,3972707577,730609867,34400684
2007,961556308,904333154,4018571588,732055954,34762947
2008,986138508,914246428,4064499676,733700924,35420616
2009,1011540465,923952404,4109765252,735119531,36106695
2010,1037780300,933386591,4154698969,736157186,36693164
2011,1064861393,942582315,4200067671,735839046,37229538
2012,1092777289,951808148,4246463276,737107499,37839081
2013,1121471475,960860196,4292514326,738866115,38458967
2014,1150834988,969944253,4338015861,740597047,39074339
2015,1180802127,978864294,4382595991,742250219,39702000
2016,1211368936,987795576,4426782620,743802737,40381317
2017,1242518131,996353460,4470900592,744934664,41095824
2018,1274195886,1004507051,4512855059,745805148,41771391
2019,1306318198,1012482980,4552860833,746111756,42443347
2020,1338830127,1022023804,4590437479,745973057,43093853
2021,1371699076,1028349581,4625073573,744654197,43385706
